Repository,File,Line,Type,Severity,Description,Category
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","490","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","491","addDirtyRegion","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","537","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","539","disableResizedPosting","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","540","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/AclImplTests.java","543","addDirtyRegion","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","50","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","50","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","50","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","54","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","54","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","67","toString","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","68","toString","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","70","toString","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","70","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","73","toString","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","73","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","73","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","75","toString","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","75","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","75","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","77","toString","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","77","clear","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","77","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","77","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","81","toString","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","81","clear","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","81","clear","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","81","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/domain/PermissionTests.java","81","setDate","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java","109","executeCall","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java","130","clear","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/jdbc/AbstractBasicLookupStrategyTests.java","142","executeCall","info","Deprecated","Deprecated"
